Raman Shift / 1/cm	0°	30°	60°	90°	120°	150°	180°	210°	240°	270°	300°	330°
0.0	0.0	30.0	60.0	90.0	120.0	150.0	180.0	210.0	240.0	270.0	300.0	330.0
200.671	7.0119698711836465e-06	1.3949360923938781e-05	1.7149031982194292e-05	1.5753633769845333e-05	1.0137062111010669e-05	1.804272845906585e-06	-7.011969871183614e-06	-1.3949360923938807e-05	-1.7149031982194238e-05	-1.57536337698453e-05	-1.0137062111010708e-05	-1.8042728459065308e-06
201.939	0.00012797889418238683	8.35552418541634e-05	1.6743029947729798e-05	-5.455546331204809e-05	-0.00011123586423465697	-0.0001381107051662115	-0.00012797889418238683	-8.355524185416341e-05	-1.6743029947729808e-05	5.455546331204804e-05	0.00011123586423465693	0.0001381107051662115
203.206	0.00010125747178828433	0.00010260995578027583	7.646818498554918e-05	2.9836825777270972e-05	-2.4789286802735115e-05	-7.277313000300484e-05	-0.00010125747178828433	-0.00010260995578027584	-7.64681849855492e-05	-2.9836825777271026e-05	2.4789286802735108e-05	7.277313000300486e-05
204.474	8.874415594349403e-05	0.00013888016336468305	0.00015180334316760278	0.00012405093976041885	6.305918722410878e-05	-1.4829223604264158e-05	-8.874415594349403e-05	-0.00013888016336468305	-0.00015180334316760284	-0.00012405093976041896	-6.305918722410878e-05	1.4829223604264275e-05
205.742	-1.095330025267864e-05	2.2976503539695036e-06	1.49329474037824e-05	2.356697325613541e-05	2.588624765646103e-05	2.12693229021659e-05	1.0953300252678623e-05	-2.2976503539695133e-06	-1.4932947403782423e-05	-2.3566973256135397e-05	-2.5886247656461046e-05	-2.1269322902165875e-05
207.009	-7.163059745685666e-05	-5.664571522813389e-05	-2.6482659349349263e-05	1.0776403715521982e-05	4.514793810750738e-05	6.742211894365589e-05	7.163059745685666e-05	5.6645715228133864e-05	2.648265934934928e-05	-1.0776403715521938e-05	-4.5147938107507305e-05	-6.742211894365589e-05
208.276	4.907224240697402e-05	3.312017868132259e-05	8.293589824836245e-06	-1.875525972756988e-05	-4.077865258213778e-05	-5.187543840889251e-05	-4.907224240697402e-05	-3.3120178681322615e-05	-8.293589824836277e-06	1.8755259727569837e-05	4.077865258213777e-05	5.18754384088925e-05
209.542	-8.361540566300802e-05	-6.710070875590006e-05	-3.260643112609273e-05	1.0624713392012138e-05	5.1008974536915274e-05	7.772542214791221e-05	8.361540566300802e-05	6.710070875590006e-05	3.260643112609276e-05	-1.0624713392012087e-05	-5.1008974536915274e-05	-7.772542214791223e-05
210.81	6.14754453940172e-05	3.572719217611515e-05	4.0586666679157044e-07	-3.5024210488133497e-05	-6.106957872722556e-05	-7.075140266424865e-05	-6.147544539401719e-05	-3.572719217611514e-05	-4.0586666679158606e-07	3.502421048813344e-05	6.10695787272255e-05	7.075140266424867e-05
212.075	-2.4998090989881756e-07	-1.1980572576187988e-05	-2.0500979495825093e-05	-2.352816551550887e-05	-2.025099858592628e-05	-1.1547592939320926e-05	2.49980909898874e-07	1.198057257618799e-05	2.050097949582509e-05	2.3528165515508874e-05	2.0250998585926284e-05	1.1547592939320893e-05
213.342	-9.148805791416935e-05	-6.906594191016718e-05	-2.8137662546840906e-05	2.0330080772810837e-05	6.335039536732842e-05	8.939602268297798e-05	9.148805791416931e-05	6.906594191016719e-05	2.8137662546840896e-05	-2.0330080772810773e-05	-6.335039536732836e-05	-8.939602268297806e-05
214.607	1.118654817459577e-05	-3.6927097113513094e-05	-7.514615655123042e-05	-9.322986402674289e-05	-8.633270472582621e-05	-5.6302766913229805e-05	-1.1186548174595728e-05	3.6927097113513067e-05	7.514615655123046e-05	9.322986402674289e-05	8.633270472582624e-05	5.630276691322976e-05
215.872	3.16225352415322e-05	9.432274072673697e-05	0.0001317492440063224	0.00013387364375100282	0.00010012670876479018	3.955090302426582e-05	-3.162253524153225e-05	-9.432274072673694e-05	-0.00013174924400632246	-0.00013387364375100285	-0.00010012670876479026	-3.955090302426576e-05
217.138	2.006987568657954e-05	-4.5237004143038974e-05	-9.842266524452673e-05	-0.00012523605267682485	-0.0001184925409311062	-7.99990485337859e-05	-2.0069875686579432e-05	4.523700414303896e-05	9.842266524452676e-05	0.00012523605267682485	0.00011849254093110623	7.999904853378585e-05
218.403	1.598218655641106e-06	2.5626902834139712e-05	4.2788879093719725e-05	4.8485609755104584e-05	4.1190660438078626e-05	2.2858706920964864e-05	-1.5982186556411046e-06	-2.5626902834139756e-05	-4.27888790937197e-05	-4.848560975510454e-05	-4.119066043807867e-05	-2.2858706920964878e-05
219.668	-6.0881937819810696e-05	-2.779426006029468e-05	1.2740867236597876e-05	4.98620894465719e-05	7.362280505640858e-05	7.765634950686662e-05	6.0881937819810655e-05	2.7794260060294678e-05	-1.2740867236597927e-05	-4.9862089446571926e-05	-7.362280505640855e-05	-7.76563495068666e-05
220.933	9.518284386167743e-05	4.617083844679043e-05	-1.5212605843781927e-05	-7.25198446837399e-05	-0.00011039544970545936	-0.00011869068313053036	-9.518284386167745e-05	-4.6170838446790465e-05	1.5212605843781902e-05	7.251984468373985e-05	0.00011039544970545936	0.00011869068313053032
222.198	-4.781953275876464e-05	-8.122302477383732e-05	-9.286287289394717e-05	-7.962018921528995e-05	-4.504334013518251e-05	1.602835558547355e-06	4.78195327587647e-05	8.122302477383732e-05	9.286287289394717e-05	7.962018921528995e-05	4.5043340135182575e-05	-1.6028355585474174e-06
223.462	-5.74139501611985e-05	-5.693714231527659e-05	-4.1204073166640444e-05	-1.4430405888130117e-05	1.6209876994558006e-05	4.250673642714649e-05	5.741395016119848e-05	5.693714231527656e-05	4.120407316664049e-05	1.4430405888130195e-05	-1.6209876994557972e-05	-4.250673642714656e-05
224.725	3.643872840222551e-05	-3.759954593370687e-05	-0.00010156305230092553	-0.00013831282082327136	-0.000138001780703151	-0.00010071327488956452	-3.6438728402225464e-05	3.7599545933706855e-05	0.00010156305230092556	0.00013831282082327136	0.000138001780703151	0.00010071327488956444
225.99	-8.166233762868883e-05	-8.294615965399639e-05	-6.200462518475276e-05	-2.4449001470260114e-05	1.965771244393602e-05	5.849715818373626e-05	8.166233762868878e-05	8.294615965399645e-05	6.200462518475272e-05	2.4449001470260138e-05	-1.9657712443935933e-05	-5.8497158183736366e-05
227.253	8.713064818895398e-05	6.559724447427196e-05	2.648711207700183e-05	-1.9720220611133566e-05	-6.064353611195219e-05	-8.531746508540557e-05	-8.713064818895404e-05	-6.559724447427199e-05	-2.6487112077001853e-05	1.9720220611133536e-05	6.0643536111952136e-05	8.531746508540555e-05
228.517	-4.214437392617186e-05	5.48520647493491e-05	0.00013715093697210225	0.00018270032639200877	0.00017929531089827397	0.0001278482616426597	4.214437392617176e-05	-5.485206474934904e-05	-0.0001371509369721023	-0.00018270032639200877	-0.00017929531089827416	-0.00012784826164265962
229.78	7.047924850709373e-05	3.661614145583952e-05	-7.058231128450589e-06	-4.884135638188015e-05	-7.753747963554424e-05	-8.545749783771966e-05	-7.047924850709371e-05	-3.6616141455839524e-05	7.05823112845064e-06	4.884135638188014e-05	7.753747963554421e-05	8.545749783771968e-05
231.042	-3.642122847810246e-05	9.437161313785903e-07	3.805579276557248e-05	6.497085046090498e-05	7.447702124367479e-05	6.402713432952643e-05	3.6421228478102366e-05	-9.437161313785721e-07	-3.805579276557243e-05	-6.497085046090492e-05	-7.447702124367479e-05	-6.402713432952647e-05
232.306	2.0721855746109723e-05	9.162602107198329e-05	0.0001379790680459418	0.00014736073516459134	0.00011725721229983203	5.57347140926081e-05	-2.072185574610984e-05	-9.162602107198334e-05	-0.00013797906804594178	-0.0001473607351645913	-0.00011725721229983203	-5.5734714092608e-05
233.568	-5.707872564743511e-06	2.3242097373998078e-05	4.59643660909714e-05	5.6370520033260504e-05	5.167223865571497e-05	3.31284226592624e-05	5.7078725647435925e-06	-2.3242097373998078e-05	-4.596436609097144e-05	-5.637052003326054e-05	-5.1672238655714964e-05	-3.312842265926232e-05
234.831	-1.1722974476905646e-05	5.3126083422801544e-05	0.00010374005017234061	0.0001265569542554369	0.00011546302464924627	7.343087083263531e-05	1.172297447690561e-05	-5.312608342280152e-05	-0.00010374005017234071	-0.00012655695425543696	-0.00011546302464924623	-7.343087083263522e-05
236.093	-5.0152395019130406e-05	6.501152125439332e-06	6.14127208081257e-05	9.986880054527678e-05	0.00011156511582725609	9.336764841983745e-05	5.015239501913038e-05	-6.501152125439292e-06	-6.141272080812571e-05	-9.986880054527674e-05	-0.00011156511582725606	-9.336764841983742e-05
237.354	6.087184262539217e-05	1.2753899617471649e-05	-3.8781440493297945e-05	-7.992532494257265e-05	-9.965328311869003e-05	-9.267922456004437e-05	-6.0871842625392056e-05	-1.2753899617471706e-05	3.8781440493297905e-05	7.992532494257262e-05	9.965328311869005e-05	9.267922456004433e-05
238.617	-3.502570002770065e-05	-6.561566228866385e-05	-7.86239608285463e-05	-7.05650325586836e-05	-4.359826080084571e-05	-4.949370270019743e-06	3.502570002770062e-05	6.561566228866384e-05	7.862396082854633e-05	7.056503255868364e-05	4.359826080084568e-05	4.949370270019701e-06
239.878	5.359765110658424e-06	2.5413357855363183e-05	3.8657461885760277e-05	4.154333022243098e-05	3.3297696775101846e-05	1.6129972367067796e-05	-5.3597651106584315e-06	-2.5413357855363196e-05	-3.8657461885760256e-05	-4.1543330222430955e-05	-3.329769677510192e-05	-1.6129972367067762e-05
241.139	-3.39240638617361e-05	1.572715313799518e-05	6.116429215515998e-05	9.021250848372845e-05	9.508835601689605e-05	7.44853553457333e-05	3.3924063861736024e-05	-1.572715313799516e-05	-6.116429215516005e-05	-9.021250848372848e-05	-9.5088356016896e-05	-7.448535534573328e-05
242.4	0.00010255669527586555	7.089653502813525e-05	2.023970547345132e-05	-3.584033681788767e-05	-8.231698980241423e-05	-0.00010673687184602294	-0.00010255669527586555	-7.089653502813531e-05	-2.0239705473451264e-05	3.584033681788766e-05	8.231698980241423e-05	0.00010673687184602294
243.662	4.692121554470202e-06	1.7139087457988554e-05	2.4993648718132434e-05	2.615118198834562e-05	2.0301527163662225e-05	9.012094530357047e-06	-4.692121554470205e-06	-1.7139087457988574e-05	-2.4993648718132475e-05	-2.6151181988345625e-05	-2.0301527163662177e-05	-9.01209453035708e-06
244.922	1.4402357170699106e-05	-2.4184867566634632e-05	-5.62917765704349e-05	-7.331534950167395e-05	-7.069413374113397e-05	-4.913048193503935e-05	-1.4402357170699038e-05	2.418486756663463e-05	5.629177657043491e-05	7.331534950167392e-05	7.069413374113397e-05	4.913048193503934e-05
246.182	2.3464529161249162e-05	2.5535653560001523e-05	2.0764520209150543e-05	1.0429550437037958e-05	-2.700008952098594e-06	-1.510610312296356e-05	-2.3464529161249162e-05	-2.553565356000147e-05	-2.0764520209150567e-05	-1.0429550437038015e-05	2.7000089520985983e-06	1.5106103122963596e-05
247.443	7.601112867218092e-05	0.0001275007917306793	0.00014482672061061336	0.00012334644666048576	6.881559193843244e-05	-4.154345070193482e-06	-7.6011128672181e-05	-0.0001275007917306793	-0.00014482672061061342	-0.00012334644666048581	-6.881559193843243e-05	4.1543450701935805e-06
248.703	3.86389443087043e-06	-4.3736898572612845e-05	-7.961842492412258e-05	-9.416625861457564e-05	-8.348231935499298e-05	-5.042936004196285e-05	-3.86389443087038e-06	4.373689857261285e-05	7.961842492412256e-05	9.416625861457564e-05	8.3482319354993e-05	5.042936004196276e-05
249.962	2.0275896852984806e-05	3.638690595487174e-05	4.2748072991083546e-05	3.7654928391347844e-05	2.2472176138098692e-05	1.2680224364761043e-06	-2.027589685298485e-05	-3.638690595487174e-05	-4.2748072991083505e-05	-3.7654928391347796e-05	-2.2472176138098682e-05	-1.2680224364760872e-06
251.221	6.1010780280391576e-05	0.00010231379896257573	0.0001162019178381774	9.895382667009177e-05	5.519113755778576e-05	-3.3599722924839246e-06	-6.101078028039166e-05	-0.00010231379896257577	-0.0001162019178381774	-9.895382667009177e-05	-5.5191137557785774e-05	3.3599722924839606e-06
252.482	-2.535880396424644e-05	-3.878754681472404e-05	-4.182319781981197e-05	-3.365235674419419e-05	-1.646439385556552e-05	5.135190070529839e-06	2.535880396424645e-05	3.878754681472402e-05	4.182319781981194e-05	3.365235674419417e-05	1.6464393855565505e-05	-5.135190070529862e-06
253.74	9.488750112970964e-05	0.00011997706100330512	0.0001129188642708054	7.560414904670383e-05	1.803136314109574e-05	-4.437291195660125e-05	-9.488750112970972e-05	-0.00011997706100330514	-0.00011291886427080539	-7.560414904670386e-05	-1.8031363141095757e-05	4.437291195660128e-05
254.999	0.00011023603608068462	0.00011551471752780406	8.984132369943916e-05	4.009501973886638e-05	-2.039471238124555e-05	-7.541969778893767e-05	-0.0001102360360806847	-0.0001155147175278041	-8.984132369943913e-05	-4.0095019738866433e-05	2.0394712381245497e-05	7.54196977889377e-05
256.257	-4.461894041130201e-05	-4.386602610307879e-05	-3.135924552537309e-05	-1.0449780433894365e-05	1.3259694885928917e-05	3.341624566918443e-05	4.461894041130199e-05	4.386602610307881e-05	3.135924552537309e-05	1.0449780433894397e-05	-1.3259694885928893e-05	-3.341624566918447e-05
257.517	0.00012486371228960584	0.00015285656106973013	0.00013989161775342158	8.944282843220045e-05	1.5027905463815692e-05	-6.341373263752963e-05	-0.00012486371228960595	-0.0001528565610697301	-0.00013989161775342158	-8.944282843220049e-05	-1.5027905463815756e-05	6.341373263752974e-05
258.775	5.053168713655946e-05	7.567167574777696e-05	8.053549995246781e-05	6.381990198285815e-05	3.0003812815908276e-05	-1.1851773764918792e-05	-5.053168713655951e-05	-7.567167574777696e-05	-8.053549995246784e-05	-6.381990198285819e-05	-3.0003812815908276e-05	1.1851773764918812e-05
260.033	6.308731191336684e-05	5.4932331428447405e-05	3.205827709891668e-05	5.942333099980829e-07	-3.1029034814450175e-05	-5.433809811844932e-05	-6.308731191336687e-05	-5.4932331428447405e-05	-3.20582770989167e-05	-5.942333099981387e-07	3.102903481445019e-05	5.4338098118449326e-05
261.29	1.9089699409925114e-05	2.4401190116104946e-05	2.3174401636316157e-05	1.5738050953001947e-05	4.084702226391045e-06	-8.66313916310296e-06	-1.9089699409925127e-05	-2.440119011610495e-05	-2.317440163631615e-05	-1.5738050953001977e-05	-4.084702226390996e-06	8.663139163102977e-06
262.548	5.067239000206904e-05	-3.6491910528269844e-06	-5.699297431209116e-05	-9.506553613018276e-05	-0.00010766536431416013	-9.14163450773558e-05	-5.0672390002069e-05	3.6491910528269594e-06	5.699297431209112e-05	9.50655361301827e-05	0.00010766536431416015	9.14163450773557e-05
263.806	6.735859831076848e-05	7.382708146304686e-05	6.051365775775515e-05	3.098564832521962e-05	-6.844940553013296e-06	-4.284143313782724e-05	-6.735859831076846e-05	-7.382708146304689e-05	-6.0513657757755185e-05	-3.098564832521967e-05	6.844940553013309e-06	4.284143313782731e-05
265.063	2.1260799944003714e-05	4.6336479636804874e-05	5.899633703082297e-05	5.5848173561037725e-05	3.773553708681928e-05	9.511693924232867e-06	-2.1260799944003707e-05	-4.633647963680483e-05	-5.8996337030823025e-05	-5.584817356103778e-05	-3.7735537086819264e-05	-9.511693924232865e-06
266.32	-9.846408600493985e-05	-6.430979642810764e-05	-1.2923748832954071e-05	4.1925206825172124e-05	8.554033717198575e-05	0.00010623500325327977	9.846408600493982e-05	6.430979642810762e-05	1.2923748832954132e-05	-4.192520682517205e-05	-8.55403371719857e-05	-0.00010623500325327985
