Raman Shift / 1/cm	0°	30°	60°	90°	120°	150°	180°	210°	240°	270°	300°	330°
0.0	0.0	30.0	60.0	90.0	120.0	150.0	180.0	210.0	240.0	270.0	300.0	330.0
200.671	6.744726331892654e-05	8.242356046933078e-05	7.531453115467992e-05	4.8025034038804024e-05	7.867267835753355e-06	-3.439852643052676e-05	-6.744726331892658e-05	-8.242356046933074e-05	-7.531453115467994e-05	-4.802503403880404e-05	-7.867267835753358e-06	3.439852643052673e-05
201.939	-5.766875320164823e-05	-8.514150263744428e-05	-8.980065519916481e-05	-7.039779472048347e-05	-3.213190199751659e-05	1.4743707916960818e-05	5.766875320164822e-05	8.514150263744428e-05	8.980065519916482e-05	7.039779472048351e-05	3.213190199751659e-05	-1.474370791696087e-05
203.206	6.939917868104944e-05	9.23681598172919e-05	9.058716712414209e-05	6.453341615545523e-05	2.1187988443092535e-05	-2.7834743661836716e-05	-6.939917868104953e-05	-9.236815981729199e-05	-9.058716712414203e-05	-6.453341615545518e-05	-2.1187988443092535e-05	2.7834743661836665e-05
204.474	3.5129842133842304e-05	-3.42261653389525e-05	-9.441129944916082e-05	-0.0001292990021155936	-0.00012954114158300302	-9.50728367766411e-05	-3.512984213384222e-05	3.422616533895246e-05	9.44112994491608e-05	0.00012929900211559354	0.0001295411415830031	9.507283677664106e-05
205.742	8.002428381736495e-05	8.02715957988097e-05	5.9010198510805856e-05	2.193706618663142e-05	-2.101408530655908e-05	-5.833452961217828e-05	-8.002428381736499e-05	-8.027159579880975e-05	-5.901019851080587e-05	-2.193706618663139e-05	2.1014085306559135e-05	5.833452961217832e-05
207.009	4.179138425768724e-05	3.006102689596011e-05	1.0275841653810281e-05	-1.2262747061028123e-05	-3.15155426038769e-05	-4.232377395698824e-05	-4.179138425768715e-05	-3.0061026895960132e-05	-1.027584165381028e-05	1.226274706102811e-05	3.151554260387689e-05	4.232377395698823e-05
208.276	-1.214912942751837e-05	-3.684940048844857e-05	-5.167590444692792e-05	-5.2655891540705115e-05	-3.952677501940957e-05	-1.580649105225656e-05	1.2149129427518385e-05	3.684940048844857e-05	5.167590444692794e-05	5.265589154070513e-05	3.952677501940956e-05	1.5806491052256523e-05
209.542	9.866733940276332e-05	6.990111114386258e-05	2.240493660392577e-05	-3.109462260550344e-05	-7.626240279883749e-05	-0.00010099573374936604	-9.866733940276325e-05	-6.990111114386254e-05	-2.240493660392577e-05	3.10946226055034e-05	7.626240279883748e-05	0.0001009957337493661
210.81	0.00010420492323065061	9.173313584780051e-05	5.468152879535785e-05	2.9780502612999215e-06	-4.952339443529271e-05	-8.875508558650061e-05	-0.00010420492323065059	-9.173313584780051e-05	-5.4681528795357925e-05	-2.9780502613000303e-06	4.9523394435292676e-05	8.875508558650074e-05
