
Integration time [ms]: 200,000
Averaging Nr. [scans]: 300
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2112124U1
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 176,03;  370,256;  360,085;  361,766;-0,78175
 176,64;  392,098;  383,568;  380,058; 0,00000
 177,24;  368,363;  360,240;  358,030; 0,00000
 177,84;  385,753;  376,289;  375,041; 0,00000
 178,44;  391,318;  382,372;  384,307;-0,66498
 179,05;  403,750;  395,102;  393,245; 0,00000
 179,65;  371,353;  363,385;  360,949; 0,00000
 180,25;  369,237;  358,266;  363,503;-0,32118
 180,85;  381,860;  370,726;  368,972; 0,00000
 181,45;  380,511;  370,023;  370,344; 0,00000
 182,06;  363,146;  356,396;  354,159; 0,00000
 182,66;  421,926;  411,715;  411,613; 0,00000
 183,26;  375,242;  366,866;  366,806; 0,00000
 183,86;  405,857;  396,660;  394,765; 0,00000
 184,46;  351,971;  344,907;  345,601; 0,00000
 185,07;  376,349;  365,721;  369,104;-0,49718
 185,67;  417,776;  385,432;  484,410; 0,48574
 186,27;  420,743;  392,948;  491,702; 0,55058
 186,87;  403,000;  374,503;  470,507; 0,52750
 187,47;  423,314;  390,680;  490,031; 0,48350
 188,07;  410,380;  382,374;  482,569; 0,55360
 188,68;  396,705;  364,576;  475,468; 0,53800
 189,28;  388,766;  359,107;  458,738; 0,52624
 189,88;  397,451;  374,931;  462,542; 0,59001
 190,48;  401,112;  377,407;  457,720; 0,52994
 191,08;  432,219;  408,082;  501,853; 0,58939
 191,68;  396,172;  366,924;  470,092; 0,54744
 192,29;  460,021;  421,445;  535,607; 0,47120
 192,89;  420,803;  388,983;  500,960; 0,54642
 193,49;  435,384;  400,717;  518,844; 0,53244
 194,09;  413,852;  379,127;  498,981; 0,53801
 194,69;  452,373;  418,284;  540,034; 0,55285
 195,29;  385,615;  354,652;  472,590; 0,58081
 195,90;  408,565;  373,513;  499,556; 0,55581
 196,50;  424,202;  388,568;  516,374; 0,55469
 197,10;  438,856;  404,543;  533,403; 0,57466
 197,70;  410,101;  372,677;  503,428; 0,54329
 198,30;  409,180;  377,380;  509,028; 0,61698
 198,90;  428,959;  393,536;  531,489; 0,59044
 199,50;  419,257;  384,133;  531,112; 0,62165
 200,11;  430,224;  391,639;  552,233; 0,61931
 200,71;  449,558;  409,695;  591,699; 0,65951
 201,31;  458,276;  406,580;  620,877; 0,61757
 201,91;  439,131;  384,883;  644,043; 0,67919
 202,51;  442,604;  384,918;  699,059; 0,73606
 203,11;  476,831;  404,412;  782,940; 0,71824
 203,71;  439,508;  359,274;  812,596; 0,75205
 204,31;  461,301;  370,261;  896,564; 0,76200
 204,91;  495,383;  388,517;  994,399; 0,75355
 205,52;  468,677;  360,153; 1028,559; 0,78952
 206,12;  500,832;  380,197; 1120,244; 0,78779
 206,72;  510,134;  382,223; 1194,932; 0,80303
 207,32;  504,031;  367,923; 1244,209; 0,80876
 207,92;  539,692;  391,240; 1337,763; 0,80455
 208,52;  559,555;  397,423; 1429,559; 0,80387
 209,12;  548,641;  377,125; 1505,057; 0,81798
 209,72;  575,728;  387,141; 1638,489; 0,82187
 210,32;  566,568;  364,232; 1737,570; 0,83170
 210,92;  598,210;  375,875; 1893,642; 0,83420
 211,53;  611,192;  373,543; 2040,929; 0,84610
 212,13;  619,920;  356,459; 2185,346; 0,84147
 212,73;  672,106;  390,919; 2373,938; 0,84833
 213,33;  633,836;  340,581; 2452,200; 0,85737
 213,93;  676,267;  365,789; 2589,309; 0,85501
 214,53;  795,001;  463,088; 2774,877; 0,84292
 215,13;  697,722;  374,299; 2706,247; 0,85795
 215,73;  656,900;  352,064; 2586,147; 0,86503
 216,33;  605,631;  330,625; 2324,925; 0,86045
 216,93;  578,635;  353,156; 1976,703; 0,85736
 217,53;  563,351;  372,175; 1751,992; 0,85839
 218,13;  598,204;  378,767; 2006,463; 0,87026
 218,73;  669,522;  351,796; 2816,591; 0,88973
 219,33;  798,311;  351,077; 3875,882; 0,89660
 219,93;  949,759;  385,258; 4878,317; 0,90088
 220,53; 1035,654;  372,999; 5634,988; 0,89986
 221,14; 1085,502;  364,044; 6196,632; 0,90765
 221,74; 1149,074;  361,626; 6684,458; 0,90469
 222,34; 1167,422;  343,687; 7080,172; 0,91265
 222,94; 1221,326;  349,855; 7501,498; 0,91415
 223,54; 1243,604;  328,743; 7905,167; 0,91811
 224,14; 1408,671;  431,994; 8480,714; 0,91598
 224,74; 1373,397;  360,118; 8926,688; 0,92708
 225,34; 1424,577;  357,229; 9339,535; 0,92508
 225,94; 1440,130;  338,030; 9767,511; 0,93227
 226,54; 1500,302;  350,738;10257,946; 0,93542
 227,14; 1566,291;  365,936;10757,968; 0,93739
 227,74; 1591,849;  350,104;11086,055; 0,93681
 228,34; 1627,065;  351,450;11592,785; 0,94510
 228,94; 1634,419;  325,353;11914,619; 0,94709
 229,54; 1714,272;  360,508;12403,170; 0,94918
 230,14; 1741,803;  346,823;12903,004; 0,95429
